record_type,evidence_status,local_path,size_bytes,sha256,mtime_utc,archive_member,archive_metadata
LOCAL_FILE,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji/🔐SHA256SUMS,324,a884eb5eeb8349158b3e2aafb5c75cbcc503d4603a79b89fcd47e6990075e9d6,2026-07-26T18:37:02.026034+00:00,,
LOCAL_FILE,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji/🥃Whiskey Emoji｜WhiskeyEmoji.png,303922,6497ffa125b46238b866eeb42d53d8c38179d31e9def33e8b8072a2fc6103946,2026-07-26T18:36:31.166033+00:00,,
LOCAL_FILE,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji/🥃Whiskey Emoji｜WhiskeyEmoji.svg,7014,4f9c6b7dbb422020a577b8f0a8fe9e25f2dd0e54db81ac288f0e368048c5fc16,2026-07-26T18:35:58.126032+00:00,,
LOCAL_FILE,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji/🧪驗證回執｜VerificationReceipt.json,1134,e8305de4b14534107695e49878bf46c79491bd5e90929d7824c32e97bf74a81f,2026-07-26T18:37:02.098034+00:00,,
LOCAL_FILE,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,296111,d76c1bc9957b74d2ba69806396ac3adbfc7e6ed4e1ecd6fe6c86e9c4b2d66a28,2026-07-26T18:37:18.150035+00:00,,
ZIP_MEMBER,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,7014,4f9c6b7dbb422020a577b8f0a8fe9e25f2dd0e54db81ac288f0e368048c5fc16,,🥃Whiskey Emoji｜WhiskeyEmoji/🥃Whiskey Emoji｜WhiskeyEmoji.svg,CRC32=4c2caeed
ZIP_MEMBER,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,1134,e8305de4b14534107695e49878bf46c79491bd5e90929d7824c32e97bf74a81f,,🥃Whiskey Emoji｜WhiskeyEmoji/🧪驗證回執｜VerificationReceipt.json,CRC32=fcc3dd83
ZIP_MEMBER,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,324,a884eb5eeb8349158b3e2aafb5c75cbcc503d4603a79b89fcd47e6990075e9d6,,🥃Whiskey Emoji｜WhiskeyEmoji/🔐SHA256SUMS,CRC32=f70df9d1
ZIP_MEMBER,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,303922,6497ffa125b46238b866eeb42d53d8c38179d31e9def33e8b8072a2fc6103946,,🥃Whiskey Emoji｜WhiskeyEmoji/🥃Whiskey Emoji｜WhiskeyEmoji.png,CRC32=dda4e433
ZIP_MEMBER,VERIFIED_TRUE,whiskey-emoji/🥃Whiskey Emoji｜WhiskeyEmoji｜20260727-023644_TPE.zip,3109,338d2887eb1e878e6a8dbccfa80009a6fe2e6e7c52a2651e000de9a3f0fec302,,🥃Whiskey Emoji｜WhiskeyEmoji/👁Whiskey Emoji 預覽｜WhiskeyEmojiPreview.html,CRC32=b89500c1
