record_no,evidence_status,workflow,run_id,run_number,run_attempt,event,status,conclusion,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,first_actual_error,error_source,run_url,job_coordinate
11,VERIFIED_TRUE,PR #6,30218748088,87,1,dynamic,completed,success,2026-07-26T20:20:08Z,2026-07-26T20:21:03Z,refs/pull/6/head,3a286afe262a1630d6fa5888b156261b7b5746d7,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218748088,
12,VERIFIED_TRUE,Python Package using Conda,30218749172,105,1,push,completed,failure,2026-07-26T20:20:09Z,2026-07-26T20:20:43Z,agent/open-source-upload-evidence-20260727,41377b2aa6d937f3f0691f08b3d8816bbe027242,ky46738-ops,89837340763,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218749172,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218749172/job/89837340763
13,VERIFIED_TRUE,Gatekeeper,30218749151,124,1,push,completed,failure,2026-07-26T20:20:09Z,2026-07-26T20:20:18Z,agent/open-source-upload-evidence-20260727,41377b2aa6d937f3f0691f08b3d8816bbe027242,ky46738-ops,89837340792,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218749151,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218749151/job/89837340792
14,VERIFIED_TRUE,PR #6,30218749577,88,1,dynamic,completed,success,2026-07-26T20:20:10Z,2026-07-26T20:21:03Z,refs/pull/6/head,41377b2aa6d937f3f0691f08b3d8816bbe027242,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218749577,
15,VERIFIED_TRUE,PR #6,30218750595,89,1,dynamic,completed,success,2026-07-26T20:20:11Z,2026-07-26T20:21:09Z,refs/pull/6/head,a44d619560f7c9725e7a2d73eed7b67ff9cb11e3,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218750595,
16,VERIFIED_TRUE,Python Package using Conda,30218750378,106,1,push,completed,failure,2026-07-26T20:20:11Z,2026-07-26T20:20:31Z,agent/open-source-upload-evidence-20260727,a44d619560f7c9725e7a2d73eed7b67ff9cb11e3,ky46738-ops,89837344587,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218750378,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218750378/job/89837344587
17,VERIFIED_TRUE,Gatekeeper,30218750372,125,1,push,completed,failure,2026-07-26T20:20:11Z,2026-07-26T20:20:18Z,agent/open-source-upload-evidence-20260727,a44d619560f7c9725e7a2d73eed7b67ff9cb11e3,ky46738-ops,89837344494,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218750372,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218750372/job/89837344494
18,VERIFIED_TRUE,Gatekeeper,30218751526,127,1,push,completed,failure,2026-07-26T20:20:12Z,2026-07-26T20:20:20Z,agent/open-source-upload-evidence-20260727,ae6e1060279279319caf2c0e4fc9fe1622d8021d,ky46738-ops,89837348154,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751526,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751526/job/89837348154
19,VERIFIED_TRUE,Python Package using Conda,30218751521,107,1,push,completed,failure,2026-07-26T20:20:12Z,2026-07-26T20:20:49Z,agent/open-source-upload-evidence-20260727,ae6e1060279279319caf2c0e4fc9fe1622d8021d,ky46738-ops,89837348169,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751521,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751521/job/89837348169
20,VERIFIED_TRUE,Gatekeeper,30218751425,126,1,pull_request,completed,failure,2026-07-26T20:20:12Z,2026-07-26T20:20:20Z,agent/open-source-upload-evidence-20260727,a44d619560f7c9725e7a2d73eed7b67ff9cb11e3,ky46738-ops,89837347814,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751425,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751425/job/89837347814
21,VERIFIED_TRUE,PR #6,30218751973,90,1,dynamic,completed,success,2026-07-26T20:20:13Z,2026-07-26T20:21:09Z,refs/pull/6/head,ae6e1060279279319caf2c0e4fc9fe1622d8021d,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218751973,
22,VERIFIED_TRUE,Python Package using Conda,30218752896,108,1,push,completed,failure,2026-07-26T20:20:14Z,2026-07-26T20:20:46Z,agent/open-source-upload-evidence-20260727,aa6a6a31f72fc98b9cd2484e60daff60e013fece,ky46738-ops,89837351803,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218752896,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218752896/job/89837351803
