record_no,evidence_status,root_identity,workflow,run_id,run_number,run_attempt,event,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,error_time_utc,first_actual_error,run_url,job_coordinate,log_status
1,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28810667261,2,1,push,2026-07-06T17:31:16Z,2026-07-06T17:31:29Z,main,8abd89f80dad32aa5e4d6378564edff049a37ab8,ky46738-ops,85437454731,verify,5,Verify SHA256SUMS,2026-07-06T17:31:16Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667261,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667261/job/85437454731,AVAILABLE|LOCAL_GIT_TREE_REPLAY
2,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28810667250,1,1,push,2026-07-06T17:31:16Z,2026-07-06T17:31:25Z,seed_v0,8c704ed68d5bfbc6e27fb12161747f6046fa1d9d,ky46738-ops,85437454834,verify,5,Verify SHA256SUMS,2026-07-06T17:31:16Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=21686695927de14cb500f16e7441ed0a2534a8be00c3389b9e913e62cedb8426,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667250,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667250/job/85437454834,AVAILABLE|LOCAL_GIT_TREE_REPLAY
3,VERIFIED_TRUE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,28810667241,1,1,push,2026-07-06T17:31:16Z,2026-07-06T17:31:29Z,main,8abd89f80dad32aa5e4d6378564edff049a37ab8,ky46738-ops,85437455324,deploy,3,Setup Pages,2026-07-06T17:31:26.2724877Z,"##[error]Get Pages site failed. Please verify that the repository has Pages enabled and configured to build using GitHub Actions, or consider exploring the `enablement` parameter for this action. Error: Not Found - https://docs.github.com/rest/pages/pages#get-a-apiname-pages-site",https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667241,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667241/job/85437455324,AVAILABLE
4,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28810667666,4,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:28Z,add-banners,917d510a230a15681dd5b156089408f307fc35dc,ky46738-ops,85437456148,verify,5,Verify SHA256SUMS,2026-07-06T17:31:17Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667666,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667666/job/85437456148,AVAILABLE|LOCAL_GIT_TREE_REPLAY
5,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28810667612,3,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:38Z,add-banners,917d510a230a15681dd5b156089408f307fc35dc,ky46738-ops,85437456018,build-linux,5,Install dependencies,2026-07-06T17:31:36.0622091Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667612,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667612/job/85437456018,AVAILABLE
6,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28810667474,2,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:59Z,copilot/seed-v0-gate-locked,70286fa9c062970f52370bbda14d0946e833b235,ky46738-ops,85437455460,build-linux,5,Install dependencies,2026-07-06T17:31:57.0441351Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667474,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667474/job/85437455460,AVAILABLE
7,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28810667345,1,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:43Z,main,8abd89f80dad32aa5e4d6378564edff049a37ab8,ky46738-ops,85437455059,build-linux,5,Install dependencies,2026-07-06T17:31:39.8679677Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667345,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667345/job/85437455059,AVAILABLE
8,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28813571065,4,1,push,2026-07-06T18:20:06Z,2026-07-06T18:20:38Z,main,3d509adf35662b04d8ebd623a723250fe9abb254,ky46738-ops,85447273409,build-linux,5,Install dependencies,2026-07-06T18:20:35.8129219Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571065,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571065/job/85447273409,AVAILABLE
9,VERIFIED_TRUE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,28813571044,2,1,push,2026-07-06T18:20:06Z,2026-07-06T18:20:16Z,main,3d509adf35662b04d8ebd623a723250fe9abb254,ky46738-ops,85447273697,deploy,3,Setup Pages,2026-07-06T18:20:13.8415984Z,"##[error]Get Pages site failed. Please verify that the repository has Pages enabled and configured to build using GitHub Actions, or consider exploring the `enablement` parameter for this action. Error: Not Found - https://docs.github.com/rest/pages/pages#get-a-apiname-pages-site",https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571044,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571044/job/85447273697,AVAILABLE
10,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28813571015,5,1,push,2026-07-06T18:20:06Z,2026-07-06T18:20:14Z,main,3d509adf35662b04d8ebd623a723250fe9abb254,ky46738-ops,85447272619,verify,5,Verify SHA256SUMS,2026-07-06T18:20:06Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571015,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571015/job/85447272619,AVAILABLE|LOCAL_GIT_TREE_REPLAY
11,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28823204716,6,1,push,2026-07-06T21:05:04Z,2026-07-06T21:05:15Z,main,6d782ea670a1bf0bfa20b17e715980142be9356b,ky46738-ops,85479761995,verify,5,Verify SHA256SUMS,2026-07-06T21:05:04Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823204716,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823204716/job/85479761995,AVAILABLE|LOCAL_GIT_TREE_REPLAY
12,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28823204707,5,1,push,2026-07-06T21:05:04Z,2026-07-06T21:05:25Z,main,6d782ea670a1bf0bfa20b17e715980142be9356b,ky46738-ops,85479762046,build-linux,5,Install dependencies,2026-07-06T21:05:21.9878606Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823204707,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823204707/job/85479762046,AVAILABLE
13,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28823270141,6,1,push,2026-07-06T21:06:08Z,2026-07-06T21:06:36Z,main,83ecb23b1342761d1bf44d3b5c718453a694d6e6,ky46738-ops,85479975365,build-linux,5,Install dependencies,2026-07-06T21:06:34.0244025Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823270141,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823270141/job/85479975365,AVAILABLE
14,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28823270087,7,1,push,2026-07-06T21:06:08Z,2026-07-06T21:06:19Z,main,83ecb23b1342761d1bf44d3b5c718453a694d6e6,ky46738-ops,85479975202,verify,5,Verify SHA256SUMS,2026-07-06T21:06:08Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823270087,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823270087/job/85479975202,AVAILABLE|LOCAL_GIT_TREE_REPLAY
15,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28823761079,7,2,push,2026-07-06T21:14:58Z,2026-07-06T22:58:31Z,copilot/ky46738-ops-move-tiny-state-core,7ca036ac12673ec0a6e6ec6514f56cdc29c9aa59,Copilot,85498517444,build-linux,5,Install dependencies,2026-07-06T22:58:28.6791668Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823761079,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823761079/job/85498517444,AVAILABLE
16,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28823761065,8,2,push,2026-07-06T21:14:58Z,2026-07-06T22:58:15Z,copilot/ky46738-ops-move-tiny-state-core,7ca036ac12673ec0a6e6ec6514f56cdc29c9aa59,Copilot,85498516062,verify,5,Verify SHA256SUMS,2026-07-06T21:14:58Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823761065,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823761065/job/85498516062,AVAILABLE|LOCAL_GIT_TREE_REPLAY
17,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28823918280,9,1,push,2026-07-06T21:17:49Z,2026-07-06T21:17:56Z,main,2803c119606169527818faf7e09b86204aa3e163,ky46738-ops,85482157046,verify,5,Verify SHA256SUMS,2026-07-06T21:17:49Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823918280,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823918280/job/85482157046,AVAILABLE|LOCAL_GIT_TREE_REPLAY
18,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28823918279,8,1,push,2026-07-06T21:17:49Z,2026-07-06T21:18:18Z,main,2803c119606169527818faf7e09b86204aa3e163,ky46738-ops,85482156914,build-linux,5,Install dependencies,2026-07-06T21:18:15.2505741Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823918279,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28823918279/job/85482156914,AVAILABLE
19,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28828987290,10,2,pull_request,2026-07-06T22:57:56Z,2026-07-06T22:58:16Z,copilot/ky46738-ops-move-tiny-state-core,7ca036ac12673ec0a6e6ec6514f56cdc29c9aa59,Copilot,85498517399,verify,5,Verify SHA256SUMS,2026-07-06T22:57:56Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28828987290,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28828987290/job/85498517399,AVAILABLE|LOCAL_GIT_TREE_REPLAY
20,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28828999080,9,1,push,2026-07-06T22:58:12Z,2026-07-06T22:58:37Z,main,06109c50feb98dd669a8a6e727e04fd60c93c190,ky46738-ops,85498530545,build-linux,5,Install dependencies,2026-07-06T22:58:35.0049988Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28828999080,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28828999080/job/85498530545,AVAILABLE
21,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28828999027,11,1,push,2026-07-06T22:58:12Z,2026-07-06T22:58:24Z,main,06109c50feb98dd669a8a6e727e04fd60c93c190,ky46738-ops,85498530307,verify,5,Verify SHA256SUMS,2026-07-06T22:58:12Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28828999027,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28828999027/job/85498530307,AVAILABLE|LOCAL_GIT_TREE_REPLAY
22,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28877373713,12,2,push,2026-07-07T15:16:33Z,2026-07-07T15:21:33Z,copilot/centralization-tracker,ffe5f9fd9f0f5a81f41a837751336888662e52d6,Copilot,85657147642,build-linux,5,Install dependencies,2026-07-07T15:21:30.9618298Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28877373713,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28877373713/job/85657147642,AVAILABLE
23,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,28877375218,17,2,push,2026-07-07T15:16:34Z,2026-07-07T15:21:20Z,copilot/centralization-tracker,ffe5f9fd9f0f5a81f41a837751336888662e52d6,Copilot,85657148929,verify,6,Check no private data leaked,2026-07-07T15:16:34Z,FAIL: Private marker 'PRIVATE_ENGINE' in ./SECURITY.md,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28877375218,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28877375218/job/85657148929,AVAILABLE|LOCAL_VERIFIER_REPLAY
24,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,28877377278,18,2,pull_request,2026-07-07T15:16:36Z,2026-07-07T15:21:25Z,copilot/centralization-tracker,ffe5f9fd9f0f5a81f41a837751336888662e52d6,Copilot,85657155808,verify,6,Check no private data leaked,2026-07-07T15:16:36Z,FAIL: Private marker 'PRIVATE_ENGINE' in ./SECURITY.md,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28877377278,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28877377278/job/85657155808,AVAILABLE|LOCAL_VERIFIER_REPLAY
25,VERIFIED_TRUE,RC-01_MANIFEST_HASH_DRIFT,Gatekeeper,29367253468,19,1,push,2026-07-14T20:50:15Z,2026-07-14T20:50:25Z,main,0b22caf930dcda7cf5170ab6a62c1b97e1af068b,ky46738-ops,87201791886,verify,5,Verify SHA256SUMS,2026-07-14T20:50:15Z,MISSING_SHA256SUMS,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29367253468,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29367253468/job/87201791886,AVAILABLE|LOCAL_GIT_TREE_REPLAY
26,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,29367253417,13,1,push,2026-07-14T20:50:15Z,2026-07-14T20:50:45Z,main,0b22caf930dcda7cf5170ab6a62c1b97e1af068b,ky46738-ops,87201791905,build-linux,5,Install dependencies,2026-07-14T20:50:42.2099368Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29367253417,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29367253417/job/87201791905,AVAILABLE
27,VERIFIED_TRUE,RC-01_MANIFEST_HASH_DRIFT,Gatekeeper,29368059445,20,1,push,2026-07-14T21:02:49Z,2026-07-14T21:02:58Z,main,710b65a1eff4ef9b2697f9eb4748aa9db08d00fc,ky46738-ops,87204416032,verify,5,Verify SHA256SUMS,2026-07-14T21:02:49Z,MISSING_SHA256SUMS,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29368059445,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29368059445/job/87204416032,AVAILABLE|LOCAL_GIT_TREE_REPLAY
28,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,29368059432,14,1,push,2026-07-14T21:02:49Z,2026-07-14T21:03:01Z,main,710b65a1eff4ef9b2697f9eb4748aa9db08d00fc,ky46738-ops,87204415833,build-linux,5,Install dependencies,2026-07-14T21:02:58.2736539Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29368059432,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29368059432/job/87204415833,AVAILABLE
29,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,29890931528,21,1,push,2026-07-22T04:23:29Z,2026-07-22T04:23:34Z,seed_v0,1d0c67bc6aad280d9f74d652327baedcce03cf8f,ky46738-ops,88831076377,verify,VERIFIED_FALSE,VERIFIED_FALSE,2026-07-22T04:23:29Z,FAIL: Private marker 'PRIVATE_ENGINE' in ./SECURITY.md,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29890931528,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29890931528/job/88831076377,VERIFIED_FALSE_API_ERROR|LOCAL_VERIFIER_REPLAY
30,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,29891069179,22,1,push,2026-07-22T04:26:32Z,2026-07-22T04:26:36Z,seed_v0,7883e072db654db6529b84016aac333199680ba5,ky46738-ops,88831467835,verify,VERIFIED_FALSE,VERIFIED_FALSE,2026-07-22T04:26:32Z,FAIL: Private marker 'PRIVATE_ENGINE' in ./GOVERNANCE.md,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29891069179,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29891069179/job/88831467835,VERIFIED_FALSE_API_ERROR|LOCAL_VERIFIER_REPLAY
31,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01_GATEKEEPER_MANIFEST_OR_VERIFIER_DRIFT,Gatekeeper,29891198462,23,1,push,2026-07-22T04:29:33Z,2026-07-22T04:29:36Z,seed_v0,f4e32ce7ccec469aa8861f87998002698096c826,ky46738-ops,88831832134,verify,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29891198462,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29891198462/job/88831832134,VERIFIED_FALSE_API_ERROR
32,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01_MANIFEST_HASH_DRIFT,Gatekeeper,29900486098,24,1,push,2026-07-22T07:31:01Z,2026-07-22T07:31:05Z,main,9c94e7c687b70a9287a3789c9713b64727f4b267,ky46738-ops,88859898598,verify,VERIFIED_FALSE,VERIFIED_FALSE,2026-07-22T07:31:01Z,MISSING_SHA256SUMS,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900486098,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900486098/job/88859898598,VERIFIED_FALSE_API_ERROR|LOCAL_GIT_TREE_REPLAY
33,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,29900485943,9,1,push,2026-07-22T07:31:01Z,2026-07-22T07:31:06Z,main,9c94e7c687b70a9287a3789c9713b64727f4b267,ky46738-ops,88859898402,deploy,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900485943,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900485943/job/88859898402,VERIFIED_FALSE_API_ERROR
34,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,29900485937,15,1,push,2026-07-22T07:31:01Z,2026-07-22T07:31:05Z,main,9c94e7c687b70a9287a3789c9713b64727f4b267,ky46738-ops,88859898374,build-linux,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900485937,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900485937/job/88859898374,VERIFIED_FALSE_API_ERROR
35,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,29900847335,10,1,push,2026-07-22T07:36:51Z,2026-07-22T07:36:57Z,main,5f92f12a175669ad00c0ac27f309c821e83fdbec,ky46738-ops,88861008344,deploy,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900847335,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900847335/job/88861008344,VERIFIED_FALSE_API_ERROR
36,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,29900847333,16,1,push,2026-07-22T07:36:51Z,2026-07-22T07:36:55Z,main,5f92f12a175669ad00c0ac27f309c821e83fdbec,ky46738-ops,88861008071,build-linux,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900847333,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900847333/job/88861008071,VERIFIED_FALSE_API_ERROR
37,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01_MANIFEST_HASH_DRIFT,Gatekeeper,29900847330,25,1,push,2026-07-22T07:36:51Z,2026-07-22T07:36:55Z,main,5f92f12a175669ad00c0ac27f309c821e83fdbec,ky46738-ops,88861008162,verify,VERIFIED_FALSE,VERIFIED_FALSE,2026-07-22T07:36:51Z,MISSING_SHA256SUMS,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900847330,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29900847330/job/88861008162,VERIFIED_FALSE_API_ERROR|LOCAL_GIT_TREE_REPLAY
38,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01_MANIFEST_HASH_DRIFT,Gatekeeper,29901465180,26,1,push,2026-07-22T07:46:54Z,2026-07-22T07:46:58Z,main,720ed0e079b19704fde675db8af16e5f95883ff7,ky46738-ops,88862929895,verify,VERIFIED_FALSE,VERIFIED_FALSE,2026-07-22T07:46:54Z,MISSING_SHA256SUMS,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901465180,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901465180/job/88862929895,VERIFIED_FALSE_API_ERROR|LOCAL_GIT_TREE_REPLAY
39,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,29901465178,11,1,push,2026-07-22T07:46:54Z,2026-07-22T07:47:00Z,main,720ed0e079b19704fde675db8af16e5f95883ff7,ky46738-ops,88862930050,deploy,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901465178,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901465178/job/88862930050,VERIFIED_FALSE_API_ERROR
40,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,29901465152,17,1,push,2026-07-22T07:46:54Z,2026-07-22T07:46:59Z,main,720ed0e079b19704fde675db8af16e5f95883ff7,ky46738-ops,88862930003,build-linux,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901465152,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901465152/job/88862930003,VERIFIED_FALSE_API_ERROR
41,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,29901649894,12,1,push,2026-07-22T07:49:56Z,2026-07-22T07:50:02Z,main,175fce87a8b77ffd8cb6d96df150fb294134b694,ky46738-ops,88863520286,deploy,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901649894,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901649894/job/88863520286,VERIFIED_FALSE_API_ERROR
42,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,29901649761,18,1,push,2026-07-22T07:49:56Z,2026-07-22T07:50:00Z,main,175fce87a8b77ffd8cb6d96df150fb294134b694,ky46738-ops,88863519926,build-linux,VERIFIED_FALSE,VERIFIED_FALSE,,VERIFIED_FALSE_LOG_UNAVAILABLE,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901649761,https://github.com/lkminiPhantomWorld/welcome/actions/runs/29901649761/job/88863519926,VERIFIED_FALSE_API_ERROR
