record_no,evidence_status,root_identity,workflow,run_id,run_number,run_attempt,event,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,error_time_utc,first_actual_error,run_url,job_coordinate,log_status
215,VERIFIED_TRUE,RC-03_PORTAL_PROJECTION_HASH_DRIFT,Deploy verified welcome site to GitHub Pages,30104938944,51,1,push,2026-07-24T15:21:39Z,2026-07-24T15:21:48Z,main,d0f063d2307d2b76781f58fb732c4707882e6720,ky46738-ops,89519952370,deploy,3,暴力驗證正式投影,2026-07-24T15:21:46.5424103Z,VERIFICATION=ERROR: 雜湊不一致：mini/index.html,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104938944,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104938944/job/89519952370,AVAILABLE
216,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30104938891,87,1,push,2026-07-24T15:21:39Z,2026-07-24T15:22:20Z,main,d0f063d2307d2b76781f58fb732c4707882e6720,ky46738-ops,89519952003,build-linux,5,Install dependencies,2026-07-24T15:22:18.3938198Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104938891,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104938891/job/89519952003,AVAILABLE
217,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30104982165,88,1,push,2026-07-24T15:22:15Z,2026-07-24T15:22:43Z,main,d350a08fb0dd477917eaa2dd54719498f6e1b301,ky46738-ops,89520091938,build-linux,5,Install dependencies,2026-07-24T15:22:40.0509178Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104982165,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104982165/job/89520091938,AVAILABLE
218,VERIFIED_TRUE,RC-03_PORTAL_PROJECTION_HASH_DRIFT,Deploy verified welcome site to GitHub Pages,30104981888,52,1,push,2026-07-24T15:22:15Z,2026-07-24T15:22:27Z,main,d350a08fb0dd477917eaa2dd54719498f6e1b301,ky46738-ops,89520097145,deploy,3,暴力驗證正式投影,2026-07-24T15:22:24.3915451Z,##[error]Process completed with exit code 1.,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104981888,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104981888/job/89520097145,AVAILABLE
219,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30104981704,104,1,push,2026-07-24T15:22:15Z,2026-07-24T15:22:22Z,main,d350a08fb0dd477917eaa2dd54719498f6e1b301,ky46738-ops,89520091634,verify,3,驗證 LKMini 公開種子,2026-07-24T15:22:15Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104981704,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30104981704/job/89520091634,AVAILABLE|LOCAL_GIT_TREE_REPLAY
220,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30106556111,105,1,push,2026-07-24T15:44:09Z,2026-07-24T15:44:15Z,main,f2d16a939c23a978056d6c35618561c0c551bbb4,ky46738-ops,89525280432,verify,3,驗證 LKMini 公開種子,2026-07-24T15:44:09Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106556111,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106556111/job/89525280432,AVAILABLE|LOCAL_GIT_TREE_REPLAY
221,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30106556006,89,1,push,2026-07-24T15:44:09Z,2026-07-24T15:44:48Z,main,f2d16a939c23a978056d6c35618561c0c551bbb4,ky46738-ops,89525280203,build-linux,5,Install dependencies,2026-07-24T15:44:44.7157192Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106556006,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106556006/job/89525280203,AVAILABLE
222,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30106557012,106,1,push,2026-07-24T15:44:10Z,2026-07-24T15:44:19Z,main,1cb3b12a81390397479297ec65e896d255141644,ky46738-ops,89525283341,verify,3,驗證 LKMini 公開種子,2026-07-24T15:44:10Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106557012,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106557012/job/89525283341,AVAILABLE|LOCAL_GIT_TREE_REPLAY
223,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30106556971,90,1,push,2026-07-24T15:44:10Z,2026-07-24T15:44:47Z,main,1cb3b12a81390397479297ec65e896d255141644,ky46738-ops,89525283045,build-linux,5,Install dependencies,2026-07-24T15:44:44.3490485Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106556971,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106556971/job/89525283045,AVAILABLE
224,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30106558785,91,1,push,2026-07-24T15:44:11Z,2026-07-24T15:44:52Z,main,680c53b1a8ee0e432a1cf4932d45137fbc819f38,ky46738-ops,89525289213,build-linux,5,Install dependencies,2026-07-24T15:44:48.6785444Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106558785,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106558785/job/89525289213,AVAILABLE
