record_no,evidence_status,source_classification,name,created_at_utc,modified_at_utc,size_bytes,mime_type,file_id,library_file_id,version_id,path,model_generated,sha256,current_state,transfer_attribution
5411,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件71_圖表卡片71_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.455484Z,2026-07-24T17:43:32.010190Z,19356,image/jpeg,file_00000000dcc8820c978ae468b0d1a20f,libfile_fe0ccfcdb7e88191aa7582c6ad23681e,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件71_圖表卡片71_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5412,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件76_新聞清單76_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.457882Z,2026-07-24T17:43:31.646036Z,20105,image/jpeg,file_00000000c23c81f590f62ede601a2746,libfile_b37547492f548191aa8eaf2824807582,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件76_新聞清單76_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5413,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件77_狀態清單77_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.460519Z,2026-07-24T17:53:33.825307Z,19299,image/jpeg,file_00000000fb54820cb04feced5eb63a14,libfile_ec40ab2274a08191a77831789c550c96,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件77_狀態清單77_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5414,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件79_圖表清單79_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.467920Z,2026-07-24T17:43:32.236115Z,19575,image/jpeg,file_00000000c4bc81f5a1e171665318237a,libfile_5dfce2fe570c81918be24131e29b8f28,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件79_圖表清單79_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5415,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件64_版面條64_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.473889Z,2026-07-24T17:43:31.622040Z,20237,image/jpeg,file_00000000f41081f59915841b5d091ad5,libfile_748e82b249f88191bf10a9dc46070450,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件64_版面條64_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5416,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件70_控制卡片70_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.486964Z,2026-07-24T17:53:32.602466Z,20466,image/jpeg,file_00000000dc0881f5bbd040245301320a,libfile_adb6248a0f848191b9e4ee138fb9df2d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件70_控制卡片70_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5417,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件65_指數卡片65_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.489502Z,2026-07-24T17:53:32.731593Z,18461,image/jpeg,file_000000008880822fab8a2845790e9732,libfile_8da7f7f2da888191893c7beb0d3d33d4,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件65_指數卡片65_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5418,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件72_版面卡片72_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.495800Z,2026-07-24T17:43:31.729074Z,20624,image/jpeg,file_000000007fa0820c9716088238f3d3e1,libfile_11c12bdd68bc8191862285a6e4cee87d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件72_版面卡片72_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5419,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件60_新聞條60_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.510321Z,2026-07-24T18:03:35.742289Z,19619,image/jpeg,file_0000000031b4822f8fdb08f98e8ff7de,libfile_6b804a4472388191a1dac6af4be55221,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件60_新聞條60_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5420,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件68_新聞卡片68_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.512753Z,2026-07-24T17:53:33.117190Z,20170,image/jpeg,file_00000000afa481f593dce89fcec28fd5,libfile_606927e40e3c8191929d1e5e148a9d08,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件68_新聞卡片68_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5421,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件78_控制清單78_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.545796Z,2026-07-24T17:53:33.473266Z,20435,image/jpeg,file_0000000033a4820c8e32132a78a497fb,libfile_904c115120b08191b6c2fb891bee8e0d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件78_控制清單78_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5422,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件74_匯率清單74_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.548410Z,2026-07-24T17:43:34.762640Z,19799,image/jpeg,file_00000000554c822fbdb27a6b8a8cd384,libfile_e917b929b7308191a1fdac25ca1baa6f,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件74_匯率清單74_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5423,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件61_狀態條61_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.579168Z,2026-07-24T17:43:32.243055Z,19104,image/jpeg,file_00000000fdc481f5afcedf01587527c5,libfile_eb8ca81865848191b2a4f3178c80dc4d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件61_狀態條61_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5424,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件69_狀態卡片69_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.597724Z,2026-07-24T17:43:32.710329Z,19884,image/jpeg,file_00000000ac5c822fa8697dd56dfafed2,libfile_5a2b3fef4574819199189dacee188d54,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件69_狀態卡片69_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5425,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件03_警示卡片03_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.512979Z,2026-07-24T17:43:31.810730Z,1526,text/plain,file_00000000f9f081f781c83e545bdec866,libfile_28c267c709a0819186e6716303e3c15b,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件03_警示卡片03_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5426,VERIFIED_TRUE,ChatGPT Library model_generated,📑零件目錄_20260114-234823_TPE_v01.pdf,2026-07-24T17:43:30.517428Z,2026-07-24T17:43:32.338140Z,3162,application/pdf,file_00000000080c81f7a4ba009607762067,libfile_315934e3932c81919d8aa9463877c289,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📑零件目錄_20260114-234823_TPE_v01.pdf,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5427,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件04_新聞卡片04_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.521042Z,2026-07-24T17:43:32.067384Z,1495,text/html,file_00000000255c81f79ad39f3292a1a014,libfile_975610be98948191a70ec7ff3bb2910e,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件04_新聞卡片04_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5428,VERIFIED_TRUE,ChatGPT Library model_generated,📋MANIFEST_零件80個_20260114-234823_TPE_v01.csv,2026-07-24T17:43:30.523884Z,2026-07-24T17:43:35.544957Z,36884,text/csv,file_000000005a6081f7959c81a09684e873,libfile_dd82c36394c081918d3072df0090e835,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📋MANIFEST_零件80個_20260114-234823_TPE_v01.csv,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5429,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件08_版面卡片08_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.535546Z,2026-07-24T17:43:32.511150Z,1469,text/html,file_0000000025a881f7966b5c22ac75cb9b,libfile_9e37218a48f48191a41725e99af34db3,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件08_版面卡片08_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5430,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件07_圖表卡片07_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.556747Z,2026-07-24T17:43:32.072040Z,2117,text/html,file_00000000465081f7963e5744cc8de4e9,libfile_32dcd80dd4008191b3e133841d0e6fac,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件07_圖表卡片07_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5431,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件02_匯率卡片02_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.561041Z,2026-07-24T17:43:32.711786Z,2102,text/html,file_00000000ffc081f7a4942b38d2164553,libfile_c51acafbda0c8191b40e8e078e761faf,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件02_匯率卡片02_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5432,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件06_控制卡片06_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.575719Z,2026-07-24T17:43:32.930773Z,1470,text/html,file_0000000066a881f7a90a17ec1385ac56,libfile_1c7d5d32833c8191a4dfc83902f80450,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件06_控制卡片06_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5433,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件06_控制卡片06_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.637791Z,2026-07-24T17:43:32.469511Z,1470,text/plain,file_00000000142881f59285dd09f5fce74d,libfile_18c341675fd081918a32660769013d31,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件06_控制卡片06_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5434,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件03_警示卡片03_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.641908Z,2026-07-24T17:43:33.128240Z,1526,text/html,file_0000000088ac81f5b08dc1a4ed93b75a,libfile_05b06f4e358c8191b563e8be5e61933c,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件03_警示卡片03_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5435,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件05_狀態卡片05_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.680816Z,2026-07-24T17:43:32.386903Z,1527,text/html,file_000000002c0481f58034ab20700b0e83,libfile_85fd6cafc2f08191aaf75d4e5d73431d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件05_狀態卡片05_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5436,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件07_圖表卡片07_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.682589Z,2026-07-24T17:43:32.302674Z,2117,text/plain,file_00000000028c81f5b8165cfc9a0e47c1,libfile_b5d107720eac8191997dca296cfe278d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件07_圖表卡片07_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5437,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件04_新聞卡片04_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.704621Z,2026-07-24T17:43:32.564238Z,1495,text/plain,file_000000004e5881f59fe8d1b11f025a5c,libfile_5d89074e4e1c8191a5bf1e3d20c9b5dd,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件04_新聞卡片04_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5438,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件09_指數清單09_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.716613Z,2026-07-24T17:43:33.332550Z,2116,text/html,file_00000000aae881f5a7782c5a47e6c4d4,libfile_fa423ce0298c8191850114fb1d2231ea,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件09_指數清單09_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5439,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件05_狀態卡片05_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.718588Z,2026-07-24T17:43:32.136041Z,1527,text/plain,file_00000000b57481f5a1ad683bc0c86d55,libfile_0178fd418ec8819186346c77cb135b25,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件05_狀態卡片05_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5440,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件08_版面卡片08_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.731982Z,2026-07-24T17:43:32.307549Z,1469,text/plain,file_00000000711481f5b87f25fc5f3d91d7,libfile_60faccccd0208191b427b3b553114bfb,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件08_版面卡片08_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5441,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件02_匯率卡片02_20260114-234823_TPE_v01.txt,2026-07-24T17:43:30.733950Z,2026-07-24T17:43:33.126337Z,2102,text/plain,file_00000000d69081f5bb7931e457caed0e,libfile_e9a6d86e1dc48191be1025c479578ba7,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件02_匯率卡片02_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5442,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件01_指數卡片01_20260114-234823_TPE_v01.html,2026-07-24T17:43:30.761399Z,2026-07-24T17:43:32.302151Z,2116,text/html,file_00000000475481f5be3ad1092a8af5aa,libfile_4ca878e9bf7c8191b9b91c5f1f5ad766,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件01_指數卡片01_20260114-234823_TPE_v01.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5443,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件80_版面清單80_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:31.080628Z,2026-07-24T17:43:35.857637Z,20749,image/jpeg,file_00000000402081f5a43650a168a742b0,libfile_a4857514ada48191818479c3f4e4e90b,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件80_版面清單80_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5444,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件01_指數卡片01_20260114-234823_TPE_v01.txt,2026-07-24T17:43:31.362916Z,2026-07-24T17:43:32.796892Z,2116,text/plain,file_00000000c6ec81f7bf4af5a99f2eea5f,libfile_40e736a7d114819191a248060ee63f90,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件01_指數卡片01_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5445,VERIFIED_TRUE,ChatGPT Library model_generated,🧩零件10_匯率清單10_20260114-234823_TPE_v01.txt,2026-07-24T17:43:33.365691Z,2026-07-24T17:43:34.783611Z,2101,text/plain,file_00000000467881f6bff331b972302521,libfile_1a724ed248c08191b2d4a0f39cf8c923,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/🧩零件10_匯率清單10_20260114-234823_TPE_v01.txt,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
