record_no,evidence_status,source_classification,name,created_at_utc,modified_at_utc,size_bytes,mime_type,file_id,library_file_id,version_id,path,model_generated,sha256,current_state,transfer_attribution
5401,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件55_圖表摘要55_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:24.050323Z,2026-07-24T17:53:28.351064Z,19636,image/jpeg,file_00000000021081f5909af2b01a22a014,libfile_3e378c2785208191bdb8c002608eb45f,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件55_圖表摘要55_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5402,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件45_狀態折疊45_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:24.052872Z,2026-07-24T17:43:28.666529Z,19572,image/jpeg,file_00000000eca881f584ae3fc5b42e94d4,libfile_ee228533dc54819191eccfab55dfbb48,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件45_狀態折疊45_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5403,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件51_警示摘要51_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:24.070688Z,2026-07-24T17:53:30.058032Z,19733,image/jpeg,file_00000000da2881f5a2ffcf3bb53ee5da,libfile_a959aa7c86e88191aebfe8f215113cc0,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件51_警示摘要51_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5404,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件48_版面折疊48_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:24.076114Z,2026-07-24T17:43:28.320196Z,20674,image/jpeg,file_00000000f488822f8330e6960d890ae5,libfile_08de1fa95d648191b415bccac8345d32,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件48_版面折疊48_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5405,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件49_指數摘要49_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:24.601129Z,2026-07-24T17:43:29.032300Z,18349,image/jpeg,file_00000000cc08822f8a6a94192a221a5c,libfile_cdd1afac056c8191a200d757a8be1cb8,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件49_指數摘要49_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5406,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件75_警示清單75_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.409003Z,2026-07-24T17:43:32.420274Z,19763,image/jpeg,file_00000000c66081f5bcf6f27ecbf951b2,libfile_84fd995e67d48191a30a9653a1e6b264,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件75_警示清單75_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5407,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件62_控制條62_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.415959Z,2026-07-24T17:43:31.822180Z,20297,image/jpeg,file_000000003f4081f5b0013c4df6818482,libfile_de8d60f68a64819182d3c8b87f30bb0e,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件62_控制條62_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5408,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件66_匯率卡片66_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.424222Z,2026-07-24T17:44:33.459332Z,20162,image/jpeg,file_00000000bf8081f5b5cf46962433895c,libfile_e659abee4a148191a61ead13caf9ff15,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件66_匯率卡片66_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5409,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件63_圖表條63_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.443564Z,2026-07-24T17:45:33.436488Z,19412,image/jpeg,file_000000006eec822fac292ef6d5fc004b,libfile_4242453e95bc8191897152226ca57935,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件63_圖表條63_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
5410,VERIFIED_TRUE,ChatGPT Library model_generated,📊零件67_警示卡片67_20260114-234823_TPE_v01.jpg,2026-07-24T17:43:27.446354Z,2026-07-24T17:43:46.760854Z,19774,image/jpeg,file_000000008f7081f5b4b2bd414b5c5c85,libfile_edfe7927357881919e2555a7b04e9504,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧩零件庫/📊零件67_警示卡片67_20260114-234823_TPE_v01.jpg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
